Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,460
design__inferred_latch__count,0
design__instance__count,3201
design__instance__area,18705.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003252449445426464
power__switching__total,0.0015476698754355311
power__leakage__total,1.9253867833413096E-8
power__total,0.004800138529390097
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.11142435900439193
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2101011923906644
timing__hold__ws__corner:nom_tt_025C_1v80,0.2597753197192601
timing__setup__ws__corner:nom_tt_025C_1v80,6.344504656775097
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.259775
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.344505
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,54
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.11680605424616465
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.21586175125030546
timing__hold__ws__corner:nom_ss_100C_1v60,0.6154243955307305
timing__setup__ws__corner:nom_ss_100C_1v60,3.0853667161123006
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.615424
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3.085367
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.10815658397244249
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.20784850817662628
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1239763327089809
timing__setup__ws__corner:nom_ff_n40C_1v95,7.077977515540625
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123976
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.635104
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,80
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.10730903969147346
clock__skew__worst_setup,0.20708632617087733
timing__hold__ws,0.12370985141995863
timing__setup__ws,2.9926177938335767
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123710
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.992618
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 148.69 159.41
design__core__bbox,5.52 10.88 143.06 146.88
design__io,36
design__die__area,23702.7
design__core__area,18705.4
design__instance__count__stdcell,1161
design__instance__area__stdcell,11959
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.639331
design__instance__utilization__stdcell,0.639331
design__rows,50
design__rows:unithd,50
design__sites,14950
design__sites:unithd,14950
design__instance__count__class:buffer,146
design__instance__area__class:buffer,654.378
design__instance__count__class:inverter,14
design__instance__area__class:inverter,52.5504
design__instance__count__class:sequential_cell,182
design__instance__area__class:sequential_cell,4141.47
design__instance__count__class:multi_input_combinational_cell,386
design__instance__area__class:multi_input_combinational_cell,4628.19
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2040
design__instance__area__class:fill_cell,6746.47
design__instance__count__class:tap_cell,260
design__instance__area__class:tap_cell,325.312
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
floorplan__design__io,34
design__io__hpwl,2173961
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,18647.7
design__violations,0
design__instance__count__class:timing_repair_buffer,109
design__instance__area__class:timing_repair_buffer,910.874
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,64
design__instance__area__class:clock_buffer,1246.2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,6081
global_route__wirelength,33458
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
flow__warnings__count:EST-0026,1001
route__net,913
route__net__special,2
route__drc_errors__iter:0,193
route__wirelength__iter:0,20743
route__drc_errors__iter:1,37
route__wirelength__iter:1,20608
route__drc_errors__iter:2,18
route__wirelength__iter:2,20543
route__drc_errors__iter:3,0
route__wirelength__iter:3,20550
route__drc_errors,0
route__wirelength,20550
route__vias,5938
route__vias__singlecut,5938
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,290.125
timing__unannotated_net__count__corner:nom_tt_025C_1v80,12
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,12
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,12
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
